batter,format,innings,runs,balls_faced,fours,sixes,strike_rate,avg_per_innings,perf_index
V Kohli,ODI,296,14675,15958,1366,170,91.96,49.58,66.63
JE Root,Test,163,13943,24286,1500,46,57.41,85.54,63.37
AN Cook,Test,161,12472,26618,1445,11,46.86,77.47,55.73
KC Sangakkara,ODI,284,11640,14663,1122,77,79.38,40.99,50.68
RG Sharma,ODI,270,11357,12532,1069,351,90.62,42.06,66.78
SPD Smith,Test,122,10763,20031,1184,68,53.73,88.22,56.16
MS Dhoni,ODI,279,10274,12090,787,210,84.98,36.82,51.77
KS Williamson,Test,108,9461,18236,1061,28,51.88,87.6,50.11
AB de Villiers,ODI,213,9435,9488,825,200,99.44,44.3,53.82
V Kohli,Test,121,9230,16655,1028,30,55.42,76.28,47.63
TM Dilshan,ODI,259,9212,10777,1022,50,85.48,35.57,44.15
HM Amla,Test,121,9146,18274,1150,14,50.05,75.59,47.44
DA Warner,Test,112,8786,12544,1055,70,70.04,78.45,51.87
KC Sangakkara,Test,84,8489,15666,961,39,54.19,101.06,51.06
AB de Villiers,Test,105,8182,14971,944,63,54.65,77.92,47.19
MJ Clarke,Test,107,8146,14605,921,32,55.78,76.13,44.85
LRPL Taylor,ODI,209,8126,10040,674,133,80.94,38.88,42.87
KP Pietersen,Test,100,8079,13130,979,79,61.53,80.79,49.84
AD Mathews,Test,116,8073,16743,821,88,48.22,69.59,44.38
DPMD Jayawardene,ODI,264,8069,10269,743,52,78.58,30.56,37.14
HM Amla,ODI,174,7834,9058,796,49,86.49,45.02,41.22
Tamim Iqbal,ODI,215,7648,9979,841,96,76.64,35.57,41.15
LRPL Taylor,Test,109,7597,12869,929,53,59.03,69.7,44.51
GC Smith,Test,94,7584,12515,954,19,60.6,80.68,45.28
IR Bell,Test,114,7416,15021,889,38,49.37,65.05,40.77
JH Kallis,Test,89,7405,14911,824,59,49.66,83.2,44.76
JE Root,ODI,174,7329,8536,593,51,85.86,42.12,37.28
BA Stokes,Test,119,7216,12390,828,136,58.24,60.64,45.46
CA Pujara,Test,100,7160,16191,858,16,44.22,71.6,39.44
KS Williamson,ODI,165,7145,8864,657,60,80.61,43.3,37.99
Azhar Ali,Test,97,7142,17063,697,23,41.86,73.63,37.78
Younis Khan,Test,80,7135,13800,724,53,51.7,89.19,44.16
MJ Guptill,ODI,190,7125,8358,734,184,85.25,37.5,45.46
FDM Karunaratne,Test,99,7113,13955,751,11,50.97,71.85,38.53
Mushfiqur Rahim,ODI,227,7096,8993,568,94,78.91,31.26,36.05
Q de Kock,ODI,159,7014,7390,791,131,94.91,44.11,45.54
MJ Clarke,ODI,198,6988,9095,578,45,76.83,35.29,33.8
RT Ponting,ODI,189,6979,8658,665,93,80.61,36.93,38.47
EJG Morgan,ODI,215,6953,7767,600,190,89.52,32.34,43.26
Yuvraj Singh,ODI,209,6932,8102,729,133,85.56,33.17,41.39
