bowler,format,innings,balls,runs_conceded,wickets,overs,economy,avg,sr,perf_index
JM Anderson,Test,181,39114,18880,705,6519.0,2.9,26.78,55.48,76.14
SCJ Broad,Test,166,33896,17575,616,5649.3,3.11,28.53,55.03,67.19
NM Lyon,Test,140,34837,17625,588,5806.2,3.04,29.97,59.25,66.99
R Ashwin,Test,105,27140,13302,553,4523.3,2.94,24.05,49.08,63.66
MA Starc,Test,105,20154,12096,449,3359.0,3.6,26.94,44.89,49.36
DW Steyn,Test,90,18172,10080,439,3028.7,3.33,22.96,41.39,51.08
HMRKB Herath,Test,82,23563,11167,416,3927.2,2.84,26.84,56.64,56.42
TG Southee,Test,107,23557,12210,400,3926.2,3.11,30.52,58.89,52.3
K Rabada,Test,72,13685,7851,351,2280.8,3.44,22.37,38.99,44.56
RA Jadeja,Test,87,20264,8996,350,3377.3,2.66,25.7,57.9,54.27
SL Malinga,ODI,208,10803,9518,343,1800.5,5.29,27.75,31.5,32.12
TA Boult,Test,78,17491,9145,323,2915.2,3.14,28.31,54.15,46.02
PJ Cummins,Test,72,14509,7261,321,2418.2,3.0,22.62,45.2,47.35
MG Johnson,Test,73,16179,9331,320,2696.5,3.46,29.16,50.56,42.44
M Morkel,Test,86,16836,8965,317,2806.0,3.19,28.28,53.11,44.99
I Sharma,Test,104,19461,10449,312,3243.5,3.22,33.49,62.38,44.95
JR Hazlewood,Test,76,15476,7423,301,2579.3,2.88,24.66,51.42,47.51
KAJ Roach,Test,86,15584,8226,299,2597.3,3.17,27.51,52.12,43.94
B Lee,ODI,151,8162,6347,281,1360.3,4.67,22.59,29.05,32.21
Shakib Al Hasan,ODI,205,10754,8249,279,1792.3,4.6,29.57,38.54,31.58
JM Anderson,ODI,177,9166,7562,268,1527.7,4.95,28.22,34.2,29.3
N Wagner,Test,64,13860,7331,265,2310.0,3.17,27.66,52.3,41.57
GP Swann,Test,60,15350,7921,264,2558.3,3.1,30.0,58.14,42.4
Shahid Afridi,ODI,200,10433,8118,259,1738.8,4.67,31.34,40.28,29.94
MA Starc,ODI,126,6766,5829,253,1127.7,5.17,23.04,26.74,28.43
M Muralitharan,Test,38,11986,5815,252,1997.7,2.91,23.08,47.56,43.89
Yasir Shah,Test,48,14262,7807,252,2377.0,3.28,30.98,56.6,39.59
Taijul Islam,Test,55,14847,7684,249,2474.5,3.11,30.86,59.63,41.24
BA Stokes,Test,106,14007,7907,249,2334.5,3.39,31.76,56.25,38.33
RA Jadeja,ODI,199,10330,8470,244,1721.7,4.92,34.71,42.34,27.72
AU Rashid,ODI,151,7950,7407,244,1325.0,5.59,30.36,32.58,25.19
MG Johnson,ODI,144,7537,5977,243,1256.2,4.76,24.6,31.02,29.26
Harbhajan Singh,Test,61,17414,8739,240,2902.3,3.01,36.41,72.56,42.25
JJ Bumrah,Test,52,10167,4934,239,1694.5,2.91,20.64,42.54,43.48
Shakib Al Hasan,Test,67,14609,7541,236,2434.8,3.1,31.95,61.9,40.44
M Ntini,Test,57,11921,6809,234,1986.8,3.43,29.1,50.94,36.86
Mohammed Shami,Test,64,11586,6684,233,1931.0,3.46,28.69,49.73,36.52
TG Southee,ODI,150,7917,7284,230,1319.5,5.52,31.67,34.42,24.53
Mashrafe Mortaza,ODI,175,8756,7441,227,1459.3,5.1,32.78,38.57,25.92
PM Siddle,Test,67,14018,7090,226,2336.3,3.03,31.37,62.03,40.44
Z Khan,Test,60,12960,7216,226,2160.0,3.34,31.93,57.35,37.15
VD Philander,Test,64,11494,5151,226,1915.7,2.69,22.79,50.86,45.05
KA Maharaj,Test,59,12319,6483,224,2053.2,3.16,28.94,55.0,38.82
TA Boult,ODI,110,6230,5190,219,1038.3,5.0,23.7,28.45,27.11
Mohammed Shami,ODI,105,5391,5011,215,898.5,5.58,23.31,25.07,24.91
Z Khan,ODI,129,6862,5753,213,1143.7,5.03,27.01,32.22,25.98
KMDN Kulasekara,ODI,176,8200,6792,213,1366.7,4.97,31.89,38.5,25.68
Mehedi Hasan Miraz,Test,53,12862,6845,212,2143.7,3.19,32.29,60.67,37.65
DW Steyn,ODI,123,6388,5202,212,1064.7,4.89,24.54,30.13,26.99
M Muralitharan,ODI,124,6852,4719,209,1142.0,4.13,22.58,32.78,31.07
MM Ali,Test,68,12623,7822,209,2103.8,3.72,37.43,60.4,32.76
DL Vettori,ODI,153,7996,5322,208,1332.7,3.99,25.59,38.44,31.22
KD Mills,ODI,130,6548,5109,203,1091.3,4.68,25.17,32.26,27.27
CR Woakes,Test,62,11276,5901,199,1879.3,3.14,29.65,56.66,37.22
SCJ Broad,ODI,117,6085,5361,198,1014.2,5.29,27.08,30.73,24.13
Kuldeep Yadav,ODI,114,6022,5141,196,1003.7,5.12,26.23,30.72,24.81
A Kumble,Test,40,12170,6355,196,2028.3,3.13,32.42,62.09,37.09
M Morkel,ODI,113,5948,4863,195,991.3,4.91,24.94,30.5,25.87
DJ Bravo,ODI,134,6052,5330,193,1008.7,5.28,27.62,31.36,23.79
A Zampa,ODI,113,5948,5499,193,991.3,5.55,28.49,30.82,22.71
CR Woakes,ODI,116,5767,5191,191,961.2,5.4,27.18,30.19,23.33
Harbhajan Singh,ODI,145,8106,5980,190,1351.0,4.43,31.47,42.66,26.89
DL Vettori,Test,54,14599,6328,190,2433.2,2.6,33.31,76.84,43.51
CS Martin,Test,53,10992,6084,187,1832.0,3.32,32.53,58.78,34.51
Saeed Ajmal,Test,35,11593,5240,183,1932.2,2.71,28.63,63.35,41.23
NLTC Perera,ODI,152,5776,5632,183,962.7,5.85,30.78,31.56,20.87
Saeed Ajmal,ODI,107,5847,4159,181,974.5,4.27,22.98,32.3,28.6
Imran Tahir,ODI,103,5556,4325,180,926.0,4.67,24.03,30.87,26.3
B Lee,Test,41,10135,5826,179,1689.2,3.45,32.55,56.62,32.75
MJ Henry,ODI,91,4985,4294,178,830.8,5.17,24.12,28.01,24.14
Abdur Razzak,ODI,121,6408,4923,176,1068.0,4.61,27.97,36.41,25.53
Mustafizur Rahman,ODI,106,5331,4584,176,888.5,5.16,26.05,30.29,23.59
K Rabada,ODI,101,5520,4655,175,920.0,5.06,26.6,31.54,23.8
TG Southee,T20,122,2879,3822,175,479.8,7.97,21.84,16.45,18.2
RAS Lakmal,Test,70,12573,6450,173,2095.5,3.08,37.28,72.68,35.99
MS Panesar,Test,48,12297,5941,170,2049.5,2.9,34.95,72.34,37.76
MDK Perera,Test,43,10826,5967,170,1804.3,3.31,35.1,63.68,33.33
UT Yadav,Test,56,8934,5419,170,1489.0,3.64,31.88,52.55,30.58
Umar Gul,ODI,118,5820,5039,170,970.0,5.19,29.64,34.24,22.5
ST Gabriel,Test,58,9648,5675,168,1608.0,3.53,33.78,57.43,31.24
NW Bracken,ODI,100,5095,3792,168,849.2,4.47,22.57,30.33,26.99
R Ashwin,ODI,113,6358,5228,166,1059.7,4.93,31.49,38.3,23.05
AU Rashid,T20,136,3042,3794,165,507.0,7.48,22.99,18.44,18.07
IS Sodhi,T20,132,2828,3773,165,471.3,8.01,22.87,17.14,17.27
Mustafizur Rahman,T20,114,2624,3104,163,437.3,7.1,19.04,16.1,20.46
JO Holder,ODI,127,6205,5712,162,1034.2,5.52,35.26,38.3,20.24
SR Watson,ODI,140,5690,4780,162,948.3,5.04,29.51,35.12,22.63
B Kumar,ODI,119,5950,5050,160,991.7,5.09,31.56,37.19,22.04
JO Holder,Test,67,11266,5082,160,1877.7,2.71,31.76,70.41,39.38
IK Pathan,ODI,98,5050,4419,156,841.7,5.25,28.33,32.37,21.69
JJ Bumrah,ODI,86,4590,3583,153,765.0,4.68,23.42,30.0,24.94
SJ Harmison,Test,42,8805,5030,151,1467.5,3.43,33.31,58.31,30.86
M Ntini,ODI,88,4535,3582,148,755.8,4.74,24.2,30.64,24.18
PWH de Silva,T20,86,1966,2374,148,327.7,7.24,16.04,13.28,21.62
JR Hazlewood,ODI,93,4973,3951,147,828.8,4.77,26.88,33.83,23.33
PJ Cummins,ODI,88,4741,4100,147,790.2,5.19,27.89,32.25,21.49
MJ Santner,T20,130,2859,3362,146,476.5,7.06,23.03,19.58,17.9
MJ Leach,Test,38,9423,4945,145,1570.5,3.15,34.1,64.99,32.98
Umar Gul,Test,41,8531,4964,145,1421.8,3.49,34.23,58.83,29.88
A Zampa,T20,110,2458,3036,145,409.7,7.41,20.94,16.95,18.1
Ehsan Khan,T20,95,2140,2245,144,356.7,6.29,15.59,14.86,23.71
BAW Mendis,ODI,79,4004,3278,144,667.3,4.91,22.76,27.81,23.72
JH Kallis,Test,85,9953,4903,144,1658.8,2.96,34.05,69.12,34.94
Rizwan Butt,T20,89,1996,2247,143,332.7,6.75,15.71,13.96,22.58
Mohammad Hafeez,ODI,164,7303,5081,142,1217.2,4.17,35.78,51.43,24.89
MJ Henry,Test,33,7335,3934,142,1222.5,3.22,27.7,51.65,32.59
Shaheen Shah Afridi,T20,99,2228,2918,142,371.3,7.86,20.55,15.69,17.43
Mohammed Siraj,Test,45,7066,4309,141,1177.7,3.66,30.56,50.11,28.55
MR Adair,T20,91,2109,2628,141,351.5,7.48,18.64,14.96,19.03
LE Plunkett,ODI,84,4166,3918,140,694.3,5.64,27.99,29.76,19.59
GB Hogg,ODI,87,4315,3282,139,719.2,4.56,23.61,31.04,24.63
SK Warne,Test,24,6475,3322,139,1079.2,3.08,23.9,46.58,34.44
Haris Rauf,T20,88,1983,2734,138,330.5,8.27,19.81,14.37,17.05
Shakib Al Hasan,T20,110,2417,2819,138,402.8,7.0,20.43,17.51,18.75
MJ Santner,ODI,117,5909,4718,138,984.8,4.79,34.19,42.82,21.65
Wahab Riaz,ODI,88,4437,4177,138,739.5,5.65,30.27,32.15,19.03
AD Mathews,ODI,158,5205,4068,137,867.5,4.69,29.69,37.99,22.58
S Lamichhane,T20,71,1639,1702,136,273.2,6.23,12.51,12.05,26.98
A Flintoff,ODI,76,3894,2787,135,649.0,4.29,20.64,28.84,26.79
S Lamichhane,ODI,60,3427,2573,134,571.2,4.5,19.2,25.57,26.44
AS Joseph,ODI,74,3992,3624,134,665.3,5.45,27.04,29.79,20.06
Shoaib Malik,ODI,163,5735,4522,133,955.8,4.73,34.0,43.12,21.61
KAJ Roach,ODI,88,4472,3775,132,745.3,5.07,28.6,33.88,20.94
JDP Oram,ODI,103,4880,3561,132,813.3,4.38,26.98,36.97,24.22
Shadab Khan,T20,110,2355,2907,131,392.5,7.41,22.19,17.98,16.89
A Flintoff,Test,39,8409,4380,131,1401.5,3.13,33.44,64.19,32.13
Shaheen Shah Afridi,ODI,67,3521,3327,130,586.8,5.67,25.59,27.08,19.54
Danish Kaneria,Test,32,9769,5279,129,1628.2,3.24,40.92,75.73,30.75
